Date,High,Low,Closing,Value Traded,No. of Trans,No. of Shares
20/05/2021,0.58,0.58,0.58,986,3,1700
18/05/2021,0.59,0.58,0.59,2599,6,4424
17/05/2021,0.59,0.57,0.57,4966,12,8640
16/05/2021,0.59,0.59,0.59,708,2,1200
10/05/2021,0.59,0.59,0.59,1758,4,2980
09/05/2021,0.59,0.58,0.59,2524,14,4320
06/05/2021,0.59,0.59,0.59,4130,5,7000
04/05/2021,0.6,0.59,0.59,3350,7,5590
03/05/2021,0.59,0.59,0.59,124,2,210
02/05/2021,0.59,0.59,0.59,53,1,90
29/04/2021,0.59,0.59,0.59,47,1,80
27/04/2021,0.62,0.59,0.62,78797,35,131426
26/04/2021,0.6,0.59,0.6,1565,4,2650
25/04/2021,0.6,0.59,0.6,27279,13,45676
20/04/2021,0.6,0.59,0.6,768,3,1300
19/04/2021,0.6,0.59,0.6,3481,4,5891
18/04/2021,0.59,0.58,0.59,7871,5,13533
15/04/2021,0.59,0.58,0.59,204,2,350
14/04/2021,0.59,0.59,0.59,148,1,250
13/04/2021,0.59,0.58,0.59,3848,3,6618
12/04/2021,0.59,0.59,0.59,8774,8,14872
08/04/2021,0.59,0.58,0.59,123496,26,209771
07/04/2021,0.6,0.58,0.58,345170,104,584213
06/04/2021,0.6,0.58,0.58,440020,119,744766
05/04/2021,0.6,0.58,0.58,308129,90,521520
04/04/2021,0.6,0.58,0.59,53523,27,90772
01/04/2021,0.61,0.59,0.59,176109,52,293880
30/03/2021,0.6,0.58,0.6,27,2,45
28/03/2021,0.6,0.6,0.6,120,1,200
25/03/2021,0.59,0.57,0.59,11916,13,20391
22/03/2021,0.59,0.58,0.59,3136,6,5400
21/03/2021,0.59,0.59,0.59,1888,3,3200
18/03/2021,0.58,0.58,0.58,165,1,284
17/03/2021,0.59,0.58,0.59,20682,17,35566
16/03/2021,0.6,0.59,0.6,9864,6,16700
15/03/2021,0.61,0.6,0.6,1591,7,2650
14/03/2021,0.6,0.6,0.6,2430,6,4050
11/03/2021,0.61,0.59,0.61,4511,6,7550
09/03/2021,0.61,0.59,0.61,563,5,950
08/03/2021,0.61,0.6,0.61,722,3,1200
04/03/2021,0.61,0.6,0.61,961,3,1600
03/03/2021,0.61,0.6,0.61,3794,11,6318
02/03/2021,0.61,0.6,0.61,2588,10,4277
01/03/2021,0.61,0.59,0.61,3723,17,6205
23/02/2021,0.61,0.6,0.61,961,3,1600
22/02/2021,0.61,0.6,0.61,1658,7,2750
21/02/2021,0.61,0.6,0.61,3214,4,5350
17/02/2021,0.61,0.6,0.61,12754,18,21255
14/02/2021,0.62,0.61,0.62,2717,4,4450
11/02/2021,0.62,0.61,0.62,3743,6,6050
10/02/2021,0.62,0.6,0.62,11123,14,18292
09/02/2021,0.62,0.61,0.62,44245,41,72519
08/02/2021,0.62,0.61,0.62,11195,9,18350
07/02/2021,0.62,0.61,0.62,31763,17,52050
04/02/2021,0.63,0.62,0.62,19025,9,30684
03/02/2021,0.63,0.62,0.63,424,6,680
01/02/2021,0.63,0.63,0.63,126,1,200
26/01/2021,0.62,0.62,0.62,6200,4,10000
25/01/2021,0.63,0.62,0.63,8092,7,13036
24/01/2021,0.62,0.62,0.62,4889,5,7886
21/01/2021,0.63,0.62,0.62,38752,21,61916
20/01/2021,0.63,0.62,0.63,10181,6,16417
19/01/2021,0.63,0.62,0.62,270426,73,430068
18/01/2021,0.63,0.62,0.62,304453,81,484231
17/01/2021,0.63,0.62,0.62,232539,65,369502
14/01/2021,0.63,0.62,0.62,238229,61,378509
13/01/2021,0.63,0.62,0.62,241974,57,384767
12/01/2021,0.64,0.62,0.62,247919,60,393291
11/01/2021,0.63,0.62,0.63,196653,61,312335
10/01/2021,0.62,0.62,0.62,4340,9,7000
07/01/2021,0.63,0.62,0.62,18186,15,29129
06/01/2021,0.62,0.62,0.62,18786,8,30300
05/01/2021,0.62,0.61,0.62,41358,13,67758
03/01/2021,0.63,0.62,0.62,97080,26,156138
31/12/2020,0.62,0.62,0.62,127445,38,205557
30/12/2020,0.63,0.61,0.61,190039,58,307713
29/12/2020,0.62,0.62,0.62,744,2,1200
28/12/2020,0.62,0.62,0.62,186,2,300
27/12/2020,0.62,0.61,0.61,159119,12,258749
24/12/2020,0.62,0.61,0.61,59189,36,96372
23/12/2020,0.63,0.62,0.63,27754,13,44400
22/12/2020,0.63,0.62,0.63,155998,48,248119
21/12/2020,0.63,0.62,0.62,247168,70,392994
20/12/2020,0.63,0.62,0.62,342975,85,545446
17/12/2020,0.64,0.62,0.63,204049,50,323955
16/12/2020,0.64,0.62,0.62,279341,74,443844
15/12/2020,0.63,0.62,0.62,266121,87,423505
14/12/2020,0.63,0.62,0.62,187923,64,298674
13/12/2020,0.63,0.62,0.62,231794,81,368889
10/12/2020,0.63,0.62,0.62,187854,75,298781
09/12/2020,0.64,0.62,0.62,301521,122,479100
08/12/2020,0.64,0.62,0.62,251489,93,395660
07/12/2020,0.64,0.63,0.64,441952,106,691914
06/12/2020,0.64,0.63,0.64,235403,81,369141
03/12/2020,0.64,0.63,0.63,343894,95,544691
02/12/2020,0.63,0.62,0.63,337925,115,538710
01/12/2020,0.63,0.62,0.62,166895,40,269013
30/11/2020,0.63,0.61,0.62,208016,59,335528
29/11/2020,0.63,0.61,0.62,174258,50,280471
26/11/2020,0.64,0.62,0.62,314378,93,500072
25/11/2020,0.64,0.62,0.62,160826,58,255949
24/11/2020,0.63,0.61,0.61,344052,87,556811
23/11/2020,0.62,0.61,0.61,215903,61,348773
19/11/2020,0.62,0.61,0.61,22949,13,37356
18/11/2020,0.62,0.61,0.62,15895,6,25876
17/11/2020,0.63,0.62,0.62,270912,82,431552
16/11/2020,0.63,0.62,0.62,303455,91,488542
15/11/2020,0.63,0.61,0.62,192573,52,310209
09/11/2020,0.62,0.61,0.61,245898,81,396868
08/11/2020,0.63,0.61,0.61,422836,125,682354
05/11/2020,0.63,0.62,0.62,429165,121,685842
04/11/2020,0.63,0.61,0.62,388392,121,624170
03/11/2020,0.62,0.62,0.62,1884,7,3039
02/11/2020,0.61,0.61,0.61,153,1,250
01/11/2020,0.61,0.61,0.61,122,1,200
28/10/2020,0.63,0.61,0.61,37999,27,61645
27/10/2020,0.63,0.61,0.63,7951,10,12897
26/10/2020,0.63,0.61,0.62,37019,19,60002
25/10/2020,0.62,0.6,0.61,40372,23,65826
22/10/2020,0.63,0.61,0.62,181890,75,293252
20/10/2020,0.61,0.61,0.61,122,1,200
19/10/2020,0.61,0.61,0.61,1202,4,1970
15/10/2020,0.61,0.6,0.61,7622,4,12700
14/10/2020,0.61,0.6,0.61,272,2,450
13/10/2020,0.6,0.6,0.6,1860,3,3100
08/10/2020,0.61,0.6,0.6,1338,7,2230
07/10/2020,0.6,0.6,0.6,780,2,1300
06/10/2020,0.61,0.6,0.6,10398,7,17314
05/10/2020,0.61,0.61,0.61,915,4,1500
04/10/2020,0.61,0.6,0.6,31602,8,52636
01/10/2020,0.62,0.61,0.62,482,4,787
30/09/2020,0.62,0.61,0.62,185,2,300
29/09/2020,0.62,0.6,0.62,44,5,71
28/09/2020,0.6,0.6,0.6,600,3,1000
27/09/2020,0.6,0.6,0.6,1247,4,2079
23/09/2020,0.61,0.61,0.61,153,2,250
22/09/2020,0.62,0.61,0.62,246,2,400
21/09/2020,0.61,0.6,0.61,292,2,484
20/09/2020,0.6,0.6,0.6,990,3,1650
17/09/2020,0.6,0.6,0.6,210,3,350
16/09/2020,0.59,0.59,0.59,322,3,546
14/09/2020,0.6,0.6,0.6,1261,6,2101
13/09/2020,0.61,0.61,0.61,1983,3,3250
10/09/2020,0.61,0.61,0.61,458,2,750
08/09/2020,0.62,0.61,0.61,3458,11,5650
07/09/2020,0.61,0.6,0.61,766,3,1260
06/09/2020,0.61,0.6,0.61,766,6,1260
02/09/2020,0.62,0.62,0.62,1271,4,2050
01/09/2020,0.61,0.6,0.61,13208,22,21871
31/08/2020,0.6,0.59,0.59,4115,18,6972
30/08/2020,0.59,0.59,0.59,1770,8,3000
27/08/2020,0.59,0.59,0.59,354,2,600
26/08/2020,0.58,0.58,0.58,632,7,1089
24/08/2020,0.58,0.58,0.58,1131,6,1950
23/08/2020,0.58,0.58,0.58,238,1,410
19/08/2020,0.58,0.57,0.57,1340,4,2347
18/08/2020,0.58,0.58,0.58,81,2,140
17/08/2020,0.58,0.58,0.58,29,1,50
16/08/2020,0.58,0.58,0.58,377,2,650
13/08/2020,0.58,0.57,0.58,6525,18,11444
12/08/2020,0.58,0.57,0.58,5143,12,8991
11/08/2020,0.58,0.57,0.58,1924,9,3365
10/08/2020,0.58,0.57,0.58,4942,12,8650
09/08/2020,0.58,0.58,0.58,1595,5,2750
06/08/2020,0.59,0.58,0.59,1136,5,1956
05/08/2020,0.59,0.58,0.59,698,3,1200
04/08/2020,0.59,0.58,0.59,321,2,550
29/07/2020,0.59,0.57,0.59,15962,41,27477
27/07/2020,0.57,0.55,0.57,7630,12,13625
26/07/2020,0.56,0.54,0.56,17974,26,32704
23/07/2020,0.56,0.55,0.56,2286,9,4100
22/07/2020,0.56,0.55,0.56,10783,17,19260
21/07/2020,0.56,0.56,0.56,6426,16,11475
20/07/2020,0.57,0.56,0.56,3169,14,5630
19/07/2020,0.56,0.56,0.56,8714,13,15560
16/07/2020,0.57,0.56,0.57,531,6,935
15/07/2020,0.57,0.57,0.57,114,1,200
14/07/2020,0.57,0.56,0.56,1291,3,2300
13/07/2020,0.57,0.56,0.56,10744,13,19168
12/07/2020,0.57,0.56,0.57,568,4,1010
08/07/2020,0.58,0.56,0.58,9134,18,16300
07/07/2020,0.58,0.57,0.58,1828,7,3170
06/07/2020,0.58,0.57,0.58,2908,2,5100
05/07/2020,0.58,0.57,0.58,316,2,550
01/07/2020,0.58,0.57,0.58,439,5,767
30/06/2020,0.59,0.57,0.58,14500,25,25319
29/06/2020,0.59,0.58,0.59,4699,3,8100
28/06/2020,0.6,0.59,0.6,247,3,416
25/06/2020,0.6,0.58,0.6,3526,9,6051
23/06/2020,0.6,0.59,0.6,613,4,1038
22/06/2020,0.6,0.59,0.6,5215,6,8836
21/06/2020,0.59,0.58,0.59,98901,17,169063
18/06/2020,0.6,0.59,0.6,297,3,500
16/06/2020,0.6,0.59,0.6,702,5,1186
15/06/2020,0.6,0.59,0.59,25198,7,42218
14/06/2020,0.6,0.59,0.6,238,3,400
11/06/2020,0.6,0.58,0.6,207,3,350
10/06/2020,0.59,0.58,0.59,3801,15,6550
09/06/2020,0.59,0.59,0.59,6225,14,10550
07/06/2020,0.63,0.62,0.62,17949,23,28949
04/06/2020,0.64,0.63,0.63,5041,11,8000
03/06/2020,0.64,0.62,0.62,13665,14,21762
02/06/2020,0.65,0.64,0.64,8203,9,12650
01/06/2020,0.64,0.62,0.64,16791,25,26554
31/05/2020,0.64,0.62,0.64,16394,24,25935
28/05/2020,0.61,0.61,0.61,8409,10,13786
27/05/2020,0.6,0.6,0.6,2550,4,4250
26/05/2020,0.61,0.59,0.59,17223,14,28751
21/05/2020,0.6,0.59,0.6,48985,33,82458
20/05/2020,0.59,0.59,0.59,248,3,420
19/05/2020,0.59,0.59,0.59,2950,2,5000
18/05/2020,0.6,0.59,0.59,15715,8,26500
17/05/2020,0.6,0.59,0.6,14280,14,24000
13/05/2020,0.62,0.6,0.6,18021,21,29760
12/05/2020,0.61,0.61,0.61,2440,2,4000
